2019-09-20 14:51:19,607 - browserdriver - INFO - 当前选择的浏览器为 Chrome 
2019-09-20 14:51:19,607 - browserdriver - INFO - 测试的URL: http://172.23.23.222:7070/zfxtbgxt/form/86595d4a7f9384381526acb302bff724/insert
2019-09-20 14:51:22,174 - browserdriver - INFO - 启动Chrome浏览器
2019-09-20 14:51:23,982 - readconfig - INFO - 操作第2行元素,当前测试对象元素路径：username1
2019-09-20 14:51:24,011 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:24,072 - seleniumdriver - INFO - 数据写入成功
2019-09-20 14:51:24,124 - readconfig - INFO - 操作第3行元素,当前测试对象元素路径：password1
2019-09-20 14:51:24,131 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:24,198 - seleniumdriver - INFO - 数据写入成功
2019-09-20 14:51:24,248 - readconfig - INFO - 操作第4行元素,当前测试对象元素路径：submit_btn
2019-09-20 14:51:24,259 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:24,302 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:51:25,851 - element-exist - INFO - 找到该元素
2019-09-20 14:51:25,863 - seleniumdriver - INFO - 当前页面的ifram个数为1
2019-09-20 14:51:25,864 - seleniumdriver - INFO - 当前页面iframe有[<selenium.webdriver.remote.webelement.WebElement (session="9fa36980550dee06455dc81066337c89", element="0.39628753707959086-2")>]
2019-09-20 14:51:25,935 - readconfig - INFO - 操作第7行元素,当前测试对象元素路径：/html/body/div/div/div[2]/div[9]/span[1]
2019-09-20 14:51:25,944 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:26,393 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:51:26,404 - seleniumdriver - INFO - 当前页面标题为：延长羁押通知案件列表
2019-09-20 14:51:26,411 - ys-qlc - INFO - 进入延长羁押业务成功
2019-09-20 14:51:26,467 - readconfig - INFO - 操作第11行元素,当前测试对象元素路径：jqButton-btn
2019-09-20 14:51:26,480 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:26,513 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:51:26,662 - ys-qlc - INFO - 开始选择案件和嫌疑人
2019-09-20 14:51:26,688 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:51:26,688 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:51:26,688 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:28,838 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:28,858 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:28,911 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:28,911 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:51:28,911 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:31,068 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:31,078 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:31,108 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:31,134 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:51:31,134 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:51:31,134 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:33,225 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:33,236 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:33,276 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:33,276 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:51:33,276 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:35,437 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:35,447 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:35,500 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:35,520 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:51:35,520 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:51:35,520 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:37,665 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:37,676 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:37,745 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:37,745 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:51:37,745 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:51:39,888 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 14:51:39,897 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:51:39,937 - seleniumdriver - INFO - 元素双击成功
2019-09-20 14:51:39,968 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:51:39,968 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:51:39,968 - choosesupects - INFO - 当前的案件列表数量为2
