2019-09-20 14:36:50,051 - browserdriver - INFO - 当前选择的浏览器为 Chrome 
2019-09-20 14:36:50,051 - browserdriver - INFO - 测试的URL: http://172.23.23.222:7070/zfxtbgxt/form/86595d4a7f9384381526acb302bff724/insert
2019-09-20 14:36:52,625 - browserdriver - INFO - 启动Chrome浏览器
2019-09-20 14:36:54,495 - readconfig - INFO - 操作第2行元素,当前测试对象元素路径：username1
2019-09-20 14:36:54,515 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:36:54,571 - seleniumdriver - INFO - 数据写入成功
2019-09-20 14:36:54,622 - readconfig - INFO - 操作第3行元素,当前测试对象元素路径：password1
2019-09-20 14:36:54,944 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:36:55,049 - seleniumdriver - INFO - 数据写入成功
2019-09-20 14:36:55,108 - readconfig - INFO - 操作第4行元素,当前测试对象元素路径：submit_btn
2019-09-20 14:36:55,118 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:36:55,184 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:36:57,500 - element-exist - INFO - 找到该元素
2019-09-20 14:36:57,512 - seleniumdriver - INFO - 当前页面的ifram个数为1
2019-09-20 14:36:57,512 - seleniumdriver - INFO - 当前页面iframe有[<selenium.webdriver.remote.webelement.WebElement (session="0c3e38c41c55ff2917d5fc92889e14ce", element="0.9153232895591361-2")>]
2019-09-20 14:36:57,575 - readconfig - INFO - 操作第7行元素,当前测试对象元素路径：/html/body/div/div/div[2]/div[9]/span[1]
2019-09-20 14:36:57,585 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:36:58,735 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:36:58,745 - seleniumdriver - INFO - 当前页面标题为：延长羁押通知案件列表
2019-09-20 14:36:58,753 - ys-qlc - INFO - 进入延长羁押业务成功
2019-09-20 14:36:58,808 - readconfig - INFO - 操作第11行元素,当前测试对象元素路径：jqButton-btn
2019-09-20 14:36:58,820 - seleniumdriver - INFO - 找到该元素
2019-09-20 14:36:58,854 - seleniumdriver - INFO - 元素点击成功
2019-09-20 14:36:59,003 - ys-qlc - INFO - 开始选择案件和嫌疑人
2019-09-20 14:36:59,035 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:36:59,035 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:36:59,035 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:37:01,102 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:37:01,102 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:37:03,255 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:37:03,255 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:37:03,255 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:37:05,342 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:37:05,342 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:37:07,495 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 14:37:07,495 - choosesupects - INFO - 正在查找第1条案件
2019-09-20 14:37:07,495 - choosesupects - INFO - 当前的案件列表数量为2
2019-09-20 14:37:09,608 - choosesupects - INFO - 正在查找第2条案件
2019-09-20 14:37:09,608 - choosesupects - INFO - 当前的案件列表数量为2
