2019-09-20 17:16:27,279 - browserdriver - INFO - 当前选择的浏览器为 Chrome 
2019-09-20 17:16:27,279 - browserdriver - INFO - 测试的URL: http://172.23.23.222:7070/zfxtbgxt/form/86595d4a7f9384381526acb302bff724/insert
2019-09-20 17:16:29,996 - browserdriver - INFO - 启动Chrome浏览器
2019-09-20 17:16:31,708 - readconfig - INFO - 操作第2行元素,当前测试对象元素路径：username1
2019-09-20 17:16:31,719 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:31,774 - seleniumdriver - INFO - 数据写入成功
2019-09-20 17:16:31,835 - readconfig - INFO - 操作第3行元素,当前测试对象元素路径：password1
2019-09-20 17:16:31,848 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:31,911 - seleniumdriver - INFO - 数据写入成功
2019-09-20 17:16:31,967 - readconfig - INFO - 操作第4行元素,当前测试对象元素路径：submit_btn
2019-09-20 17:16:31,976 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:32,039 - seleniumdriver - INFO - 元素点击成功
2019-09-20 17:16:33,038 - element-exist - INFO - 找到该元素
2019-09-20 17:16:33,049 - seleniumdriver - INFO - 当前页面的ifram个数为1
2019-09-20 17:16:33,049 - seleniumdriver - INFO - 当前页面iframe有[<selenium.webdriver.remote.webelement.WebElement (session="161e28bb6744618b1f5064d64c1c12cf", element="0.9014692342521682-2")>]
2019-09-20 17:16:33,126 - readconfig - INFO - 操作第7行元素,当前测试对象元素路径：/html/body/div/div/div[2]/div[9]/span[1]
2019-09-20 17:16:33,137 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:33,588 - seleniumdriver - INFO - 元素点击成功
2019-09-20 17:16:33,592 - seleniumdriver - INFO - 当前页面标题为：延长羁押通知案件列表
2019-09-20 17:16:33,596 - ys-qlc - INFO - 进入延长羁押业务成功
2019-09-20 17:16:33,664 - readconfig - INFO - 操作第11行元素,当前测试对象元素路径：jqButton-btn
2019-09-20 17:16:33,674 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:33,710 - seleniumdriver - INFO - 元素点击成功
2019-09-20 17:16:33,911 - ys-qlc - INFO - 开始选择案件和嫌疑人
2019-09-20 17:16:33,929 - choosesupects - INFO - 当前页案件数量为2
2019-09-20 17:16:33,984 - readconfig - INFO - 操作第19行元素,当前测试对象元素路径：/html/body/div[1]/div[1]/table/tbody/tr[1]/td[1]/input
2019-09-20 17:16:33,995 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:34,057 - seleniumdriver - INFO - 元素双击成功
2019-09-20 17:16:34,084 - choosesupects - INFO - 当前提捕流程选择的嫌疑人姓名： 成祖裘
2019-09-20 17:16:34,140 - readconfig - INFO - 操作第20行元素,当前测试对象元素路径：jqButtonSave
2019-09-20 17:16:34,151 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:34,232 - seleniumdriver - INFO - 元素点击成功
2019-09-20 17:16:42,326 - readconfig - INFO - 操作第64行元素,当前测试对象元素路径：jqInputctar
2019-09-20 17:16:42,345 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:42,417 - seleniumdriver - INFO - 数据写入成功
2019-09-20 17:16:42,492 - readconfig - INFO - 操作第65行元素,当前测试对象元素路径：jqDatedyjyksrq
2019-09-20 17:16:42,503 - seleniumdriver - INFO - 找到该元素
2019-09-20 17:16:42,644 - seleniumdriver - INFO - 数据写入成功
2019-09-20 17:16:42,710 - readconfig - INFO - 操作第66行元素,当前测试对象元素路径：jqDatedyjyjzrq
